item,description,week,price,units
242,10 BARREL APOCALYPSE IPA 6PK        ,00,9.39,4
244,10 BARREL BREWING PRAY FOR SNOW WINT,00,9.39,1
250,2 TOWNS CRISP APPLE CIDER           ,00,4.69,1
298,21ST AMENDMNT BREW FREE IPA 6PK     ,00,8.49,1
270,AMERICAN BLONDE                     ,00,3.79,2
272,AMERICAN CABOOSE STOUT 22           ,00,3.79,2
335,ANDERSON VALLEY BRBN BRL STOUT      ,00,9.39,1
308,ANGRY ORCHARD CRISP APL 16 CAN      ,00,1.89,5
317,ANGRY ORCHARD CRISP APL 6PK         ,00,8.99,1
307,ANGRY ORCHARD SEASONAL 6PK          ,00,8.99,1
312,ANGRY ORCHARD STONE DRY CIDER 6PK   ,00,8.99,2
277,BALEBREAKER TOPCUTTER IPA           ,00,8.99,3
132,BEAR REPUBLIC BLACK STOUT           ,00,4.69,1
131,BEAR REPUBLIC RACER 5 IPA 22        ,00,4.69,5
17,BEST DAMN ROOT BEER 6PK             ,00,10.99,1
75,BITBURGER 4 PK CAN                  ,00,6.99,1
31,BITBURGER 4PK CAN                   ,00,5.59,3
254,BLACK RAVEN TRICKSTER IPA 22        ,00,4.69,3
113,BLUEMOON 12PK                       ,00,16.99,2
112,BLUEMOON 6PK                        ,00,8.99,3
296,BREAKSIDE WANDERLUST 22             ,00,4.69,1
342,BRIDGEPORT HOP CZAR IPA 6PK         ,00,8.99,1
10,BUD 12PK CAN                        ,00,11.99,1
8,BUD 6PK BTL                         ,00,7.49,1
27,BUD LIGHT 18-12 BTL                 ,00,17.99,1
18,BUD LIGHT RESEALABLE 8PK            ,00,9.99,1
24,BUD LT 12PK CAN                     ,00,11.99,4
26,BUD LT 18PK CAN                     ,00,15.99,4
21,BUD LT 25 OZ CAN                    ,00,2.19,3
22,BUD LT CHELADA 25 OZ CAN            ,00,3.19,1
16,BUD LT PLATINUM 6PK BTL             ,00,7.69,1
79,CASCADE LAKES HOPSMACK 6PK          ,00,8.89,2
30,CHELAN HARD CIDER                   ,00,7.49,1
76,CLAUSTHALER NA 6PK                  ,00,6.69,1
127,COORS LITE 16 OZ                    ,00,1.39,1
126,COORS LT 12PK BTL                   ,00,11.99,1
111,COORS LT 12PK CAN                   ,00,11.99,3
129,COORS LT 16OZ PK CN                 ,00,7.49,2
123,COORS LT 18PK CAN                   ,00,15.99,8
122,COORS LT 6PK BTL                    ,00,7.49,4
192,CORONA 12PK BTL                     ,00,14.99,2
194,CORONA 24OZ BTL                     ,00,2.79,2
191,CORONA 6PK BTL                      ,00,8.89,1
163,DESCHUTES BLK BUTTE PORTER 6PK      ,00,8.99,1
160,DESCHUTES FRESH SQUEEZED IPA 6PK    ,00,10.99,2
169,DESCHUTES SEASONAL 6PK              ,00,8.99,2
334,DIAMOND KNOT INDUSTRIAL IPA         ,00,5.59,1
135,DOS EQUIS LAGER 6PK                 ,00,8.39,1
249,DOUBLE MTN VAPORIZER                ,00,3.29,2
253,ECLIPTIC ORBITER IPA 22             ,00,4.69,1
204,ELYSIAN IMMORTAL IPA  22OZ NR       ,00,4.39,1
205,ELYSIAN IMPORTAL IPA 6PK            ,00,9.39,3
207,ELYSIAN MENSROOM RED 6PK            ,00,9.39,2
212,ELYSIAN SPACE DUST 6PK              ,00,12.19,4
108,FOSTERS LAGER 25.4 CAN              ,00,2.39,3
257,FREEMONT UNIVERSAL PALE             ,00,4.09,1
260,FREMONT IPA 6PK CAN                 ,00,9.49,1
49,FULL SAIL SESSION LAGER 12PK        ,00,12.99,1
181,GREAT DIVIDE TITAN IPA 6PK BTL      ,00,10.29,1
234,GUINESS BLONDE 6 PK NR              ,00,8.99,2
152,HEINEKEN 6PK BTL                    ,00,8.89,2
279,HOP VALLEY SEASONAL 6PK CAN         ,00,8.99,2
239,HUB SEASONAL 22                     ,00,5.19,1
184,KONA BIG WAVE GLDN ALE 6PK          ,00,8.99,1
183,KONA LONGBOARD LAGER 6PK            ,00,8.99,1
138,LAGUNITAS IPA 12PK                  ,00,17.49,2
29,LAKE CHELAN CHERRY HARD CIDER       ,00,9.39,1
60,LEINENKUGEL SEASONAL 6PK            ,00,8.99,1
59,LITE 12PK 16FZ                      ,00,11.99,1
56,LITE 16oz ALUM 9PK                  ,00,12.49,1
290,MAUI BIKINI BLONDE LAGER 6PK CAN    ,00,11.19,2
9,MICHELOB ULTRA 6/12 OZ NR           ,00,7.69,1
82,MIKES HARDER CRANBRY 16             ,00,1.79,2
88,MIKES HARDER LEMONADE 16            ,00,1.79,4
