"i","j","x"
313,1,1
1062,1,1
1757,1,1
2237,1,1
2603,1,1
2700,1,1
3047,1,1
3128,1,1
3281,1,1
3312,1,1
4307,1,1
4432,1,1
4615,1,1
4977,1,1
5321,1,1
5408,1,1
5637,1,1
6162,1,1
6416,1,1
6628,1,1
7321,1,1
7389,1,1
7531,1,1
7566,1,1
95,2,1
157,2,1
170,2,1
236,2,1
248,2,1
264,2,1
265,2,1
315,2,1
339,2,1
340,2,1
364,2,1
444,2,1
467,2,1
493,2,1
497,2,1
523,2,1
548,2,1
559,2,1
647,2,1
648,2,1
678,2,1
746,2,1
754,2,1
805,2,1
830,2,1
889,2,1
1009,2,1
1015,2,1
1087,2,1
1117,2,1
1129,2,1
1216,2,1
1217,2,1
1249,2,1
1289,2,1
1307,2,1
1343,2,1
1375,2,1
1386,2,1
1388,2,1
1419,2,1
1441,2,1
1448,2,1
1457,2,1
1653,2,1
1655,2,1
1679,2,1
1704,2,1
1732,2,1
1809,2,1
1918,2,1
1924,2,1
1932,2,1
1948,2,1
1982,2,1
1985,2,1
2154,2,1
2316,2,1
2465,2,1
2484,2,1
2555,2,1
2584,2,1
2643,2,1
2645,2,1
2667,2,1
2682,2,1
2691,2,1
2704,2,1
2721,2,1
2766,2,1
2774,2,1
2778,2,1
2797,2,1
2805,2,1
2842,2,1
2855,2,1
2859,2,1
2925,2,1
2954,2,1
3007,2,1
3011,2,1
3051,2,1
3135,2,1
3145,2,1
3171,2,1
3205,2,1
3228,2,1
3296,2,1
3346,2,1
3442,2,1
3488,2,1
3506,2,1
3517,2,1
3564,2,1
3594,2,1
3627,2,1
3632,2,1
3640,2,1
3643,2,1
3658,2,1
3713,2,1
3721,2,1
3908,2,1
3925,2,1
3929,2,1
4046,2,1
4048,2,1
4060,2,1
4089,2,1
4162,2,1
4258,2,1
4315,2,1
4326,2,1
4334,2,1
4342,2,1
4365,2,1
4372,2,1
4412,2,1
4445,2,1
4464,2,1
4467,2,1
4470,2,1
4513,2,1
4540,2,1
4558,2,1
4580,2,1
4607,2,1
4619,2,1
4641,2,1
4652,2,1
4693,2,1
4720,2,1
4722,2,1
4768,2,1
4780,2,1
4783,2,1
4841,2,1
4880,2,1
4921,2,1
4939,2,1
4949,2,1
4970,2,1
4972,2,1
4997,2,1
5012,2,1
5108,2,1
5138,2,1
5193,2,1
5216,2,1
5236,2,1
5367,2,1
5441,2,1
5451,2,1
5505,2,1
5519,2,1
5527,2,1
5568,2,1
5641,2,1
5659,2,1
5727,2,1
5730,2,1
5745,2,1
5853,2,1
5928,2,1
5965,2,1
6012,2,1
6053,2,1
6070,2,1
6090,2,1
6125,2,1
6126,2,1
6151,2,1
6170,2,1
6278,2,1
6300,2,1
6342,2,1
6347,2,1
6421,2,1
6427,2,1
6434,2,1
6512,2,1
6515,2,1
6524,2,1
6529,2,1
6572,2,1
6582,2,1
6623,2,1
6665,2,1
6755,2,1
6758,2,1
6789,2,1
6842,2,1
6869,2,1
6871,2,1
6959,2,1
6970,2,1
6981,2,1
7091,2,1
7162,2,1
7170,2,1
7187,2,1
7243,2,1
7330,2,1
7375,2,1
7403,2,1
7425,2,1
7443,2,1
7455,2,1
7458,2,1
7558,2,1
7581,2,1
7599,2,1
7601,2,1
7660,2,1
7681,2,1
7706,2,1
7712,2,1
7716,2,1
7757,2,1
7761,2,1
7770,2,1
7802,2,1
7824,2,1
7831,2,1
7844,2,1
7883,2,1
7888,2,1
7910,2,1
7943,2,1
7953,2,1
7979,2,1
770,3,1
1995,3,1
2678,3,1
2828,3,1
3176,3,1
4234,3,1
4731,3,1
5953,3,1
6161,3,1
6439,3,1
7199,3,1
7659,3,1
45,4,1
371,4,1
490,4,1
695,4,1
855,4,1
1200,4,1
1296,4,1
1633,4,1
1866,4,1
1883,4,1
1976,4,1
2038,4,1
3412,4,1
4113,4,1
4327,4,1
5185,4,1
5377,4,1
5631,4,1
5667,4,1
5754,4,1
5809,4,1
5918,4,1
7025,4,1
7052,4,1
7195,4,1
7333,4,1
7442,4,1
7625,4,1
7704,4,1
7957,4,1
49,5,1
103,5,1
357,5,1
455,5,1
479,5,1
629,5,1
691,5,1
764,5,1
883,5,1
987,5,1
1101,5,1
1372,5,1
1613,5,1
1754,5,1
1996,5,1
2121,5,1
2123,5,1
2623,5,1
2789,5,1
2824,5,1
2893,5,1
2911,5,1
2921,5,1
2943,5,1
2955,5,1
3022,5,1
3053,5,1
3151,5,1
3156,5,1
3242,5,1
3476,5,1
3537,5,1
3659,5,1
3680,5,1
3688,5,1
3735,5,1
3777,5,1
3785,5,1
3899,5,1
4010,5,1
4012,5,1
4079,5,1
4246,5,1
4255,5,1
4316,5,1
4331,5,1
4402,5,1
4500,5,1
4568,5,1
4873,5,1
5151,5,1
5207,5,1
5502,5,1
5526,5,1
5537,5,1
5606,5,1
5636,5,1
5734,5,1
5738,5,1
5819,5,1
5938,5,1
5966,5,1
6003,5,1
6007,5,1
6141,5,1
6191,5,1
6270,5,1
6303,5,1
6384,5,1
6429,5,1
6490,5,1
6872,5,1
6916,5,1
7013,5,1
7338,5,1
7368,5,1
7497,5,1
7812,5,1
7944,5,1
6,6,1
13,6,1
23,6,1
26,6,1
39,6,1
48,6,1
50,6,1
51,6,1
63,6,1
80,6,1
82,6,1
92,6,1
105,6,1
122,6,1
140,6,1
144,6,1
159,6,1
169,6,1
184,6,1
186,6,1
202,6,1
204,6,1
206,6,1
208,6,1
209,6,1
212,6,1
214,6,1
216,6,1
226,6,1
240,6,1
241,6,1
260,6,1
275,6,1
287,6,1
294,6,1
302,6,1
308,6,1
319,6,1
322,6,1
324,6,1
329,6,1
393,6,1
408,6,1
409,6,1
411,6,1
426,6,1
437,6,1
440,6,1
451,6,1
453,6,1
454,6,1
461,6,1
465,6,1
470,6,1
471,6,1
472,6,1
474,6,1
475,6,1
480,6,1
487,6,1
491,6,1
496,6,1
503,6,1
509,6,1
510,6,1
519,6,1
532,6,1
541,6,1
556,6,1
585,6,1
589,6,1
618,6,1
621,6,1
630,6,1
664,6,1
665,6,1
666,6,1
668,6,1
670,6,1
677,6,1
682,6,1
684,6,1
694,6,1
719,6,1
730,6,1
737,6,1
741,6,1
749,6,1
750,6,1
774,6,1
800,6,1
806,6,1
808,6,1
809,6,1
810,6,1
811,6,1
829,6,1
842,6,1
848,6,1
859,6,1
876,6,1
881,6,1
894,6,1
899,6,1
900,6,1
922,6,1
928,6,1
930,6,1
943,6,1
950,6,1
958,6,1
973,6,1
994,6,1
995,6,1
1001,6,1
1008,6,1
1014,6,1
1049,6,1
1060,6,1
1081,6,1
1083,6,1
1085,6,1
1102,6,1
1112,6,1
1120,6,1
1121,6,1
1131,6,1
1144,6,1
1150,6,1
1154,6,1
1157,6,1
1158,6,1
1162,6,1
1164,6,1
1167,6,1
1194,6,1
1199,6,1
1219,6,1
1222,6,1
1224,6,1
1229,6,1
1240,6,1
1243,6,1
1250,6,1
1251,6,1
1256,6,1
1261,6,1
1264,6,1
1267,6,1
1272,6,1
1290,6,1
1301,6,1
1316,6,1
1333,6,1
1335,6,1
1342,6,1
1355,6,1
1361,6,1
1362,6,1
1363,6,1
1370,6,1
1382,6,1
1404,6,1
1417,6,1
1430,6,1
1435,6,1
1468,6,1
1470,6,1
1490,6,1
1529,6,1
1532,6,1
1537,6,1
1545,6,1
1554,6,1
1555,6,1
1557,6,1
1559,6,1
1560,6,1
1576,6,1
1578,6,1
1587,6,1
1598,6,1
1605,6,1
1642,6,1
1645,6,1
1646,6,1
1668,6,1
1676,6,1
1677,6,1
1681,6,1
1689,6,1
1695,6,1
1709,6,1
1712,6,1
1716,6,1
1727,6,1
1745,6,1
1763,6,1
1764,6,1
1772,6,1
1789,6,1
1793,6,1
1805,6,1
1808,6,1
1814,6,1
1816,6,1
1831,6,1
1835,6,1
1836,6,1
1848,6,1
1851,6,1
1864,6,1
1865,6,1
1867,6,1
1874,6,1
1885,6,1
1888,6,1
1896,6,1
1898,6,1
1899,6,1
1902,6,1
1904,6,1
1923,6,1
1926,6,1
1928,6,1
1941,6,1
1944,6,1
1954,6,1
1957,6,1
1964,6,1
2001,6,1
2018,6,1
2045,6,1
2047,6,1
2056,6,1
2061,6,1
2079,6,1
2088,6,1
2093,6,1
2103,6,1
2105,6,1
2107,6,1
2108,6,1
2128,6,1
2132,6,1
2134,6,1
2139,6,1
2141,6,1
2153,6,1
2167,6,1
2195,6,1
2224,6,1
2225,6,1
2231,6,1
2236,6,1
2240,6,1
2241,6,1
2274,6,1
2276,6,1
2281,6,1
2288,6,1
2291,6,1
2292,6,1
2294,6,1
2305,6,1
2314,6,1
2322,6,1
2328,6,1
2355,6,1
2356,6,1
2364,6,1
2368,6,1
2381,6,1
2391,6,1
2398,6,1
2421,6,1
2423,6,1
2427,6,1
2433,6,1
2443,6,1
2449,6,1
2452,6,1
2474,6,1
2477,6,1
2480,6,1
2488,6,1
2492,6,1
2495,6,1
2496,6,1
2499,6,1
2503,6,1
2526,6,1
2535,6,1
2547,6,1
2553,6,1
2556,6,1
2561,6,1
2563,6,1
2578,6,1
2579,6,1
2587,6,1
2591,6,1
2602,6,1
2609,6,1
2617,6,1
2632,6,1
2649,6,1
2698,6,1
2709,6,1
2720,6,1
2724,6,1
2736,6,1
2740,6,1
2758,6,1
2769,6,1
2771,6,1
2780,6,1
2793,6,1
2799,6,1
2839,6,1
2844,6,1
2860,6,1
2870,6,1
2895,6,1
2896,6,1
2897,6,1
2902,6,1
2904,6,1
2906,6,1
2923,6,1
2937,6,1
2976,6,1
2981,6,1
2985,6,1
2986,6,1
2988,6,1
2990,6,1
2992,6,1
3003,6,1
3027,6,1
3049,6,1
3058,6,1
3076,6,1
3152,6,1
3154,6,1
3155,6,1
3163,6,1
3170,6,1
3175,6,1
3178,6,1
3185,6,1
3208,6,1
3220,6,1
3222,6,1
3239,6,1
3251,6,1
3264,6,1
3283,6,1
3288,6,1
3295,6,1
3321,6,1
3349,6,1
3355,6,1
3370,6,1
3375,6,1
3382,6,1
3383,6,1
3384,6,1
3389,6,1
3407,6,1
3418,6,1
3421,6,1
3424,6,1
3431,6,1
3434,6,1
3439,6,1
3446,6,1
3464,6,1
3470,6,1
3474,6,1
3480,6,1
3481,6,1
3482,6,1
3492,6,1
3493,6,1
3510,6,1
3511,6,1
3512,6,1
3542,6,1
3545,6,1
3549,6,1
3551,6,1
3554,6,1
3561,6,1
3596,6,1
3598,6,1
3609,6,1
3616,6,1
3618,6,1
3623,6,1
3633,6,1
3636,6,1
3638,6,1
3641,6,1
3647,6,1
3662,6,1
3665,6,1
3674,6,1
3678,6,1
3694,6,1
3697,6,1
3719,6,1
3722,6,1
3724,6,1
3727,6,1
3744,6,1
3757,6,1
3762,6,1
3783,6,1
3788,6,1
3790,6,1
3791,6,1
3802,6,1
3808,6,1
3810,6,1
3811,6,1
3818,6,1
3827,6,1
3831,6,1
3836,6,1
3852,6,1
3854,6,1
3855,6,1
3861,6,1
3867,6,1
3877,6,1
3880,6,1
3885,6,1
3893,6,1
3895,6,1
3897,6,1
3898,6,1
3902,6,1
3912,6,1
3920,6,1
3921,6,1
3924,6,1
3931,6,1
3934,6,1
3939,6,1
3942,6,1
3971,6,1
3976,6,1
3988,6,1
3995,6,1
4006,6,1
4009,6,1
4019,6,1
4055,6,1
4062,6,1
4064,6,1
4102,6,1
4115,6,1
4144,6,1
4158,6,1
4161,6,1
4165,6,1
4170,6,1
4179,6,1
4181,6,1
4192,6,1
4194,6,1
4195,6,1
4198,6,1
4224,6,1
4225,6,1
4238,6,1
4243,6,1
4262,6,1
4267,6,1
4278,6,1
4297,6,1
4304,6,1
4336,6,1
4347,6,1
4348,6,1
4359,6,1
4385,6,1
4433,6,1
4441,6,1
4444,6,1
4463,6,1
4477,6,1
4479,6,1
4480,6,1
4483,6,1
4484,6,1
4487,6,1
4492,6,1
4504,6,1
4521,6,1
4529,6,1
4536,6,1
4538,6,1
4544,6,1
4547,6,1
4553,6,1
4563,6,1
4577,6,1
4588,6,1
4589,6,1
4600,6,1
4605,6,1
4610,6,1
4611,6,1
4623,6,1
4627,6,1
4634,6,1
4637,6,1
4662,6,1
4668,6,1
4669,6,1
4671,6,1
4684,6,1
4686,6,1
4689,6,1
4702,6,1
4703,6,1
4714,6,1
4719,6,1
4734,6,1
4740,6,1
4755,6,1
4760,6,1
4766,6,1
4767,6,1
4773,6,1
4781,6,1
4785,6,1
4801,6,1
4812,6,1
4824,6,1
4829,6,1
4844,6,1
4850,6,1
4852,6,1
4868,6,1
4874,6,1
4879,6,1
4889,6,1
4898,6,1
4899,6,1
4902,6,1
4904,6,1
4908,6,1
4923,6,1
4932,6,1
4933,6,1
4935,6,1
4946,6,1
4985,6,1
4986,6,1
4994,6,1
5005,6,1
5013,6,1
5034,6,1
5037,6,1
5038,6,1
5044,6,1
5059,6,1
5062,6,1
5063,6,1
5070,6,1
5112,6,1
5121,6,1
5123,6,1
5135,6,1
5140,6,1
5142,6,1
5173,6,1
5181,6,1
5187,6,1
5200,6,1
5208,6,1
5217,6,1
5225,6,1
5235,6,1
5257,6,1
5269,6,1
5274,6,1
5292,6,1
5295,6,1
5305,6,1
5308,6,1
5337,6,1
5350,6,1
5355,6,1
5363,6,1
5365,6,1
5368,6,1
5374,6,1
5393,6,1
5406,6,1
5410,6,1
5413,6,1
5426,6,1
5428,6,1
5433,6,1
5437,6,1
5448,6,1
5459,6,1
5464,6,1
5466,6,1
5470,6,1
5480,6,1
5481,6,1
5507,6,1
5524,6,1
5525,6,1
5528,6,1
5529,6,1
5574,6,1
5577,6,1
5593,6,1
5594,6,1
5595,6,1
5599,6,1
5607,6,1
5622,6,1
5623,6,1
5628,6,1
5635,6,1
5648,6,1
5650,6,1
5661,6,1
5679,6,1
5687,6,1
5693,6,1
5694,6,1
5696,6,1
5711,6,1
5722,6,1
5732,6,1
5741,6,1
5757,6,1
5765,6,1
5781,6,1
5785,6,1
5786,6,1
5790,6,1
5798,6,1
5818,6,1
5824,6,1
5826,6,1
5828,6,1
5842,6,1
5845,6,1
5864,6,1
5873,6,1
5876,6,1
5878,6,1
5881,6,1
5882,6,1
5893,6,1
5904,6,1
5914,6,1
5936,6,1
5948,6,1
5950,6,1
5958,6,1
5960,6,1
5986,6,1
5988,6,1
6016,6,1
6027,6,1
6034,6,1
6038,6,1
6041,6,1
6042,6,1
6057,6,1
6064,6,1
6067,6,1
6068,6,1
6076,6,1
6078,6,1
6079,6,1
6089,6,1
6096,6,1
6111,6,1
6120,6,1
6129,6,1
6133,6,1
6137,6,1
6152,6,1
6165,6,1
6171,6,1
6172,6,1
6192,6,1
6193,6,1
6198,6,1
6209,6,1
6222,6,1
6226,6,1
6232,6,1
6233,6,1
6242,6,1
6255,6,1
6294,6,1
6295,6,1
6323,6,1
6326,6,1
6329,6,1
6356,6,1
6369,6,1
6374,6,1
6376,6,1
6380,6,1
6387,6,1
6390,6,1
6393,6,1
6394,6,1
6415,6,1
6417,6,1
6444,6,1
6447,6,1
6475,6,1
6481,6,1
6508,6,1
6510,6,1
6511,6,1
6521,6,1
6522,6,1
6526,6,1
6528,6,1
6532,6,1
6548,6,1
6549,6,1
6551,6,1
6555,6,1
6557,6,1
6589,6,1
6593,6,1
6604,6,1
6610,6,1
6616,6,1
6619,6,1
6626,6,1
6632,6,1
6636,6,1
6662,6,1
6677,6,1
6679,6,1
6694,6,1
