"stars","nwrd","nrev"
1,21,1
5,28,12
3,6,7
5,89,24
4,8,11
5,46,17
4,233,56
5,22,33
5,86,8
5,74,320
1,40,1698
5,132,103
5,147,2
1,34,9
4,42,31
4,104,296
1,40,16
4,85,171
4,7,1
5,24,19
5,35,5
5,198,93
1,118,32
1,107,21
4,226,5
5,11,63
5,31,12
1,180,116
4,170,26
4,28,195
1,117,296
4,38,195
4,29,201
3,83,207
5,61,7
5,43,180
5,45,578
3,63,103
4,56,297
3,84,31
5,57,285
4,32,24
5,38,55
4,50,3
5,16,14
4,14,114
5,55,3
4,103,3
2,168,128
4,51,2
2,121,53
1,80,2
4,103,115
5,55,8
4,68,9
4,17,5
3,56,7
3,158,32
5,27,9
4,8,578
5,108,670
4,135,75
5,53,14
3,163,14
2,174,7
4,33,128
5,46,16
4,238,11
5,34,87
4,142,160
5,163,12
1,25,41
3,54,28
3,59,24
4,32,215
4,5,7
2,97,4
4,126,83
1,36,18
4,75,114
5,19,14
5,59,5
4,26,6
1,32,2
4,144,369
4,12,161
4,102,2
5,60,109
5,12,1
4,49,38
5,71,64
4,78,156
1,77,23
1,67,13
4,76,93
1,75,25
5,17,10
1,428,73
5,42,180
4,44,112
4,16,1104
1,29,1
3,16,703
3,79,36
5,191,38
5,61,4
2,30,12
4,66,103
4,79,69
5,136,127
5,69,34
4,136,161
4,66,11
5,53,164
4,89,1
1,114,3
2,35,21
5,52,40
2,34,24
3,58,51
4,49,45
4,87,3
5,42,468
4,115,1
5,46,24
4,7,10
4,26,225
5,181,106
5,302,115
5,42,4
3,64,112
3,50,2
5,85,7
4,56,3
4,12,223
4,31,60
5,94,4
1,167,13
3,250,220
5,30,4
3,16,29
2,70,5
5,40,3
5,125,412
5,2,71
5,51,173
4,59,21
5,52,15
5,24,22
4,59,22
5,24,3
5,15,6
5,157,670
5,41,4
5,25,5
3,78,83
4,32,63
4,106,9
4,61,26
2,7,15
5,7,6
5,37,448
5,21,13
3,100,162
5,4,13
4,82,71
1,36,156
5,75,1
1,48,2
3,186,260
4,126,10
5,228,12
4,58,2
4,23,5
4,9,25
5,65,1
3,112,539
2,68,180
2,8,4
3,86,58
2,9,35
4,17,5
2,96,45
5,18,13
3,223,15
5,23,131
3,111,180
4,150,377
5,31,163
4,56,5
2,111,131
3,86,103
5,116,1
5,13,3
5,73,28
1,201,3
4,285,539
3,38,83
2,38,3
4,17,93
2,108,3
2,81,14
5,32,22
3,27,12
4,5,19
4,146,54
1,79,1
5,6,6
5,139,17
2,108,14
5,94,4
5,78,2
4,41,4
4,28,59
4,37,169
5,19,6
4,61,7
4,48,3
2,84,1
4,113,29
5,6,29
1,29,1
4,125,45
5,101,6
5,333,100
5,120,12
5,47,2
5,58,175
4,256,39
5,30,9
4,118,20
2,223,3
5,30,2
4,32,13
3,11,172
4,90,236
5,9,12
4,91,5
3,52,512
5,7,13
4,10,65
4,173,160
4,61,46
5,39,126
5,108,3
2,116,124
4,78,11
5,20,85
4,194,139
1,103,11
4,18,13
4,99,448
4,107,670
5,13,3
3,73,45
5,72,81
5,20,3
2,114,65
5,38,1
4,7,9
1,23,5
5,131,101
5,49,185
5,35,661
4,103,2
3,58,708
5,52,3
5,10,6
5,40,19
4,110,449
4,49,10
1,51,1
5,12,12
5,149,24
1,135,2
2,52,78
3,43,326
2,48,6
5,61,15
5,40,10
3,12,46
1,51,14
3,62,17
4,105,63
2,186,6
4,67,83
5,35,31
1,136,3
2,140,4
5,15,2
5,70,12
4,331,46
3,84,5
4,64,24
4,64,154
5,84,8
4,73,212
5,3,2
3,36,188
5,59,297
5,35,11
3,105,297
4,38,149
5,159,102
4,22,18
5,47,21
5,35,9
5,23,4
5,51,13
3,165,5
5,157,8
4,171,96
5,131,19
5,3,23
1,134,1
5,24,4
5,174,104
4,24,27
3,30,6
1,124,6
5,16,19
4,117,103
5,124,134
3,43,151
2,39,35
2,108,11
4,116,493
5,29,15
4,78,17
4,81,216
1,202,21
4,80,10
1,133,10
2,183,369
4,83,143
1,41,1
4,430,178
1,82,7
5,55,4
5,196,1
5,20,4
4,226,30
2,164,21
2,81,4
5,49,17
2,60,67
2,157,290
1,43,11
5,21,7
3,6,43
5,40,62
1,142,1
5,20,298
5,139,15
4,40,41
2,44,25
4,78,791
1,171,6
5,45,6
4,61,11
5,43,3
5,26,61
3,21,3
5,39,1
5,90,4
5,3,2
5,85,30
3,41,2
4,74,14
4,54,48
2,229,209
4,39,145
4,28,51
2,6,23
4,206,108
4,103,6
3,142,584
4,47,146
5,27,6
1,94,49
3,22,19
5,6,17
2,103,449
3,208,139
4,64,146
3,35,115
3,102,83
5,72,7
5,17,6
2,17,26
4,77,4
5,25,132
3,93,20
5,128,2
3,23,36
3,52,2
4,189,71
5,120,19
5,69,4
3,30,75
3,147,66
5,122,41
5,89,5
1,159,1
4,6,4
3,110,438
1,114,1
3,148,5
1,4,22
4,13,87
5,249,232
3,68,96
5,374,222
5,24,24
3,77,13
4,43,210
3,65,231
2,44,132
1,159,3
3,72,64
5,125,189
5,32,33
3,80,26
5,17,3
4,40,4
3,164,132
4,136,134
4,35,130
1,251,33
5,113,5
2,26,4
1,98,13
4,188,27
4,161,216
5,142,1
2,97,67
4,9,3
5,27,6
5,30,15
4,46,1
4,34,78
5,34,14
5,56,114
3,59,78
3,29,55
4,71,24
5,96,4
5,3,6
5,35,18
4,109,156
3,121,83
2,181,33
5,113,25
2,36,31
4,49,187
3,4,6
4,287,19
3,70,24
4,31,105
3,72,15
2,134,157
5,65,5
5,110,29
5,154,96
4,63,20
5,118,4
4,73,448
1,106,2
3,47,24
4,77,7
4,31,66
2,16,2
4,126,16
4,26,102
2,43,3
4,19,105
1,103,9
1,137,32
4,140,879
4,168,97
3,37,9
4,146,592
5,40,3
5,46,11
5,35,4
5,75,25
3,80,244
5,99,96
5,85,6
1,189,6
5,251,161
2,23,4
2,174,209
2,10,206
5,51,6
1,201,44
3,68,661
4,93,295
5,24,23
5,55,33
5,26,3
4,66,6
1,272,4
4,48,7
5,131,5
3,152,24
4,58,15
3,248,33
5,49,14
2,93,159
4,8,1
5,112,1
3,75,147
3,180,22
2,18,7
4,36,35
5,98,171
4,178,103
4,34,14
2,231,2
4,46,7
5,12,13
2,59,17
5,77,3
2,25,27
3,24,150
2,229,39
5,81,6
4,54,34
2,127,48
4,58,360
4,81,41
5,45,153
5,46,15
1,575,17
5,19,95
4,15,8
5,80,11
4,92,189
2,91,180
4,120,18
4,157,169
4,81,611
4,18,32
4,166,180
5,30,1
4,79,85
5,55,60
5,207,3
5,51,12
5,67,8
4,147,51
5,20,26
3,33,49
4,31,9
4,228,34
5,4,1
4,61,45
1,108,45
3,267,10
2,10,9
5,180,43
3,197,76
5,13,14
5,108,60
5,14,15
4,70,10
1,136,62
4,120,21
5,14,5
5,274,143
2,84,66
4,107,320
5,114,6
5,103,3
2,40,66
5,38,12
5,287,670
4,20,342
1,28,25
5,124,232
5,16,6
5,21,11
2,121,70
2,45,6
5,9,23
3,34,173
5,58,45
5,10,11
5,55,140
5,25,76
5,86,12
5,14,3
5,28,3
5,76,1
5,5,1
4,40,18
2,241,73
5,67,1
4,35,661
4,28,63
4,41,19
5,106,112
5,22,134
5,16,2
2,364,219
5,22,14
5,25,6
5,93,50
4,39,180
4,31,15
4,35,3
5,25,2
5,10,18
5,28,19
5,58,112
5,2,3
1,269,7
4,34,65
5,42,1
4,19,20
5,48,342
4,4,125
5,175,91
5,50,273
5,28,83
4,251,314
3,109,19
2,158,61
3,120,24
4,68,6
4,60,18
4,59,87
4,42,173
2,213,11
4,46,2
5,28,1
5,126,25
4,13,26
4,59,81
1,287,4
2,82,569
3,109,215
5,94,21
4,83,117
5,144,2
5,99,41
4,182,49
5,12,32
5,15,195
5,146,24
1,14,7
1,21,6
4,41,1467
4,65,31
1,47,135
4,37,57
5,8,2
4,62,40
5,44,140
5,213,21
4,75,9
4,5,43
4,345,224
5,189,592
5,105,967
5,78,32
3,41,13
4,28,2
5,44,2
4,43,3
4,52,48
4,44,17
4,13,92
2,137,1
4,83,11
2,77,26
4,40,17
4,48,20
5,74,91
1,76,64
5,22,2
5,26,47
4,39,46
4,211,27
5,95,325
2,12,61
5,23,36
3,47,122
4,69,32
4,47,12
4,52,1
4,5,5
5,95,12
1,194,82
5,9,31
3,40,45
4,70,88
3,37,180
1,5,5
5,30,32
1,37,10
2,142,3
4,99,592
2,60,8
3,29,136
1,287,3
5,21,1
1,59,2
5,67,97
2,185,13
1,64,26
3,21,43
2,71,9
3,255,69
5,122,285
5,5,1
5,46,5
5,14,8
5,49,11
3,367,69
3,113,294
4,16,66
5,95,36
4,137,116
